"name","command","attribute","endpoint","destination-id"
"accesscontrol","command-by-id","","4","3"
"accesscontrol","read-by-id","","3","2"
"accesscontrol","read","acl","2","1"
"accesscontrol","read","extension","2","1"
"accesscontrol","read","subjects-per-access-control-entry","2","1"
"accesscontrol","read","access-control-entries-per-fabric","2","1"
"accesscontrol","read","generated-command-list","2","1"
"accesscontrol","read","accepted-command-list","2","1"
"accesscontrol","read","event-list","2","1"
"accesscontrol","read","attribute-list","2","1"
"accesscontrol","read","feature-map","2","1"
"accesscontrol","read","cluster-revision","2","1"
"accesscontrol","write-by-id","","4","3"
"accesscontrol","write","acl","3","2"
"accesscontrol","write","extension","3","2"
"accesscontrol","force-write","subjects-per-access-control-entry","3","2"
"accesscontrol","force-write","targets-per-access-control-entry","3","2"
"accesscontrol","force-write","access-control-entries-per-fabric","3","2"
"accesscontrol","force-write","generated-command-list","3","2"
"accesscontrol","force-write","accepted-command-list","3","2"
"accesscontrol","force-write","event-list","3","2"
"accesscontrol","force-write","attribute-list","3","2"
"accesscontrol","force-write","feature-map","3","2"
"accesscontrol","force-write","cluster-revision","3","2"
"accesscontrol","subscribe-by-id","","5","4"
"accesscontrol","subscribe","acl","4","3"
"accesscontrol","subscribe","extension","4","3"
"accesscontrol","subscribe","subjects-per-access-control-entry","4","3"
"accesscontrol","subscribe","targets-per-access-control-entry","4","3"
"accesscontrol","subscribe","access-control-entries-per-fabric","4","3"
"accesscontrol","subscribe","generated-command-list","4","3"
"accesscontrol","subscribe","accepted-command-list","4","3"
"accesscontrol","subscribe","event-list","4","3"
"accesscontrol","subscribe","attribute-list","4","3"
"accesscontrol","subscribe","feature-map","4","3"
"accesscontrol","subscribe","cluster-revision","4","3"
"accesscontrol","read-event-by-id","","3","2"
"accesscontrol","subscribe-event-by-id","","5","4"
"accountlogin","command-by-id","","4","3"
"accountlogin","get-setup-pin","","3","2"
"accountlogin","login","","4","3"
"accountlogin","logout","","2","1"
"accountlogin","read-by-id","","3","2"
"accountlogin","read","generated-command-list","2","1"
"accountlogin","read","accepted-command-list","2","1"
"accountlogin","read","event-list","2","1"
"accountlogin","read","attribute-list","2","1"
"accountlogin","read","feature-map","2","1"
"accountlogin","read","cluster-revision","2","1"
"accountlogin","write-by-id","","4","3"
"accountlogin","force-write","generated-command-list","3","2"
"accountlogin","force-write","accepted-command-list","3","2"
"accountlogin","force-write","event-list","3","2"
"accountlogin","force-write","attribute-list","3","2"
"accountlogin","force-write","feature-map","3","2"
"accountlogin","force-write","cluster-revision","3","2"
"accountlogin","subscribe-by-id","","5","4"
"accountlogin","subscribe","generated-command-list","4","3"
"accountlogin","subscribe","accepted-command-list","4","3"
"accountlogin","subscribe","event-list","4","3"
"accountlogin","subscribe","attribute-list","4","3"
"accountlogin","subscribe","feature-map","4","3"
"accountlogin","subscribe","cluster-revision","4","3"
"accountlogin","read-event-by-id","","3","2"
"accountlogin","subscribe-event-by-id","","5","4"
"actions","command-by-id","","4","3"
"actions","instant-action","","3","2"
"actions","instant-action-with-transition","","4","3"
"actions","start-action","","3","2"
"actions","start-action-with-duration","","4","3"
"actions","stop-action","","3","2"
"actions","pause-action","","3","2"
"actions","pause-action-with-duration","","4","3"
"actions","resume-action","","3","2"
"actions","enable-action","","3","2"
"actions","enable-action-with-duration","","4","3"
"actions","disable-action","","3","2"
"actions","disable-action-with-duration","","4","3"
"actions","read-by-id","","3","2"
"actions","read","action-list","2","1"
"actions","read","endpoint-lists","2","1"
"actions","read","setup-url","2","1"
"actions","read","generated-command-list","2","1"
"actions","read","accepted-command-list","2","1"
"actions","read","event-list","2","1"
"actions","read","attribute-list","2","1"
"actions","read","feature-map","2","1"
"actions","read","cluster-revision","2","1"
"actions","write-by-id","","4","3"
"actions","force-write","action-list","3","2"
"actions","force-write","endpoint-lists","3","2"
"actions","force-write","setup-url","3","2"
"actions","force-write","generated-command-list","3","2"
"actions","force-write","accepted-command-list","3","2"
"actions","force-write","event-list","3","2"
"actions","force-write","attribute-list","3","2"
"actions","force-write","feature-map","3","2"
"actions","force-write","cluster-revision","3","2"
"actions","subscribe-by-id","","5","4"
"actions","subscribe","action-list","4","3"
"actions","subscribe","endpoint-lists","4","3"
"actions","subscribe","setup-url","4","3"
"actions","subscribe","generated-command-list","4","3"
"actions","subscribe","accepted-command-list","4","3"
"actions","subscribe","event-list","4","3"
"actions","subscribe","attribute-list","4","3"
"actions","subscribe","feature-map","4","3"
"actions","subscribe","cluster-revision","4","3"
"actions","read-event-by-id","","3","2"
"actions","subscribe-event-by-id","","5","4"
"activatedcarbonfiltermonitoring","command-by-id","","4","3"
"activatedcarbonfiltermonitoring","reset-condition","","2","1"
"activatedcarbonfiltermonitoring","read-by-id","","3","2"
"activatedcarbonfiltermonitoring","read","condition","2","1"
"activatedcarbonfiltermonitoring","read","degradation-direction","2","1"
"activatedcarbonfiltermonitoring","read","change-indication","2","1"
"activatedcarbonfiltermonitoring","read","in-place-indicator","2","1"
"activatedcarbonfiltermonitoring","read","last-changed-time","2","1"
"activatedcarbonfiltermonitoring","read","replacement-product-list","2","1"
"activatedcarbonfiltermonitoring","read","generated-command-list","2","1"
"activatedcarbonfiltermonitoring","read","accepted-command-list","2","1"
"activatedcarbonfiltermonitoring","read","event-list","2","1"
"activatedcarbonfiltermonitoring","read","attribute-list","2","1"
"activatedcarbonfiltermonitoring","read","feature-map","2","1"
"activatedcarbonfiltermonitoring","read","cluster-revision","2","1"
"activatedcarbonfiltermonitoring","write-by-id","","4","3"
"activatedcarbonfiltermonitoring","force-write","condition","3","2"
"activatedcarbonfiltermonitoring","force-write","degradation-direction","3","2"
"activatedcarbonfiltermonitoring","force-write","change-indication","3","2"
"activatedcarbonfiltermonitoring","force-write","in-place-indicator","3","2"
"activatedcarbonfiltermonitoring","force-write","replacement-product-list","3","2"
"activatedcarbonfiltermonitoring","force-write","generated-command-list","3","2"
"activatedcarbonfiltermonitoring","force-write","accepted-command-list","3","2"
"activatedcarbonfiltermonitoring","force-write","event-list","3","2"
"activatedcarbonfiltermonitoring","force-write","attribute-list","3","2"
"activatedcarbonfiltermonitoring","force-write","feature-map","3","2"
"activatedcarbonfiltermonitoring","force-write","cluster-revision","3","2"
"activatedcarbonfiltermonitoring","write","last-changed-time","3","2"
"activatedcarbonfiltermonitoring","subscribe-by-id","","5","4"
"activatedcarbonfiltermonitoring","subscribe","condition","4","3"
"activatedcarbonfiltermonitoring","subscribe","degradation-direction","4","3"
"activatedcarbonfiltermonitoring","subscribe","change-indication","4","3"
"activatedcarbonfiltermonitoring","subscribe","in-place-indicator","4","3"
"activatedcarbonfiltermonitoring","subscribe","last-changed-time","4","3"
"activatedcarbonfiltermonitoring","subscribe","replacement-product-list","4","3"
"activatedcarbonfiltermonitoring","subscribe","generated-command-list","4","3"
"activatedcarbonfiltermonitoring","subscribe","accepted-command-list","4","3"
"activatedcarbonfiltermonitoring","subscribe","event-list","4","3"
"activatedcarbonfiltermonitoring","subscribe","attribute-list","4","3"
"activatedcarbonfiltermonitoring","subscribe","feature-map","4","3"
"activatedcarbonfiltermonitoring","subscribe","cluster-revision","4","3"
"activatedcarbonfiltermonitoring","read-event-by-id","","3","2"
"activatedcarbonfiltermonitoring","subscribe-event-by-id","","5","4"
"administratorcommissioning","command-by-id","","4","3"
"administratorcommissioning","open-commissioning-window","","7","6"
"administratorcommissioning","open-basic-commissioning-window","","3","2"
"administratorcommissioning","revoke-commissioning","","2","1"
"administratorcommissioning","read-by-id","","3","2"
"administratorcommissioning","read","window-status","2","1"
"administratorcommissioning","read","admin-fabric-index","2","1"
"administratorcommissioning","read","admin-vendor-id","2","1"
"administratorcommissioning","read","generated-command-list","2","1"
"administratorcommissioning","read","accepted-command-list","2","1"
"administratorcommissioning","read","event-list","2","1"
"administratorcommissioning","read","attribute-list","2","1"
"administratorcommissioning","read","feature-map","2","1"
"administratorcommissioning","read","cluster-revision","2","1"
"administratorcommissioning","write-by-id","","4","3"
"administratorcommissioning","force-write","window-status","3","2"
"administratorcommissioning","force-write","admin-fabric-index","3","2"
"administratorcommissioning","force-write","admin-vendor-id","3","2"
"administratorcommissioning","force-write","generated-command-list","3","2"
"administratorcommissioning","force-write","accepted-command-list","3","2"
"administratorcommissioning","force-write","event-list","3","2"
"administratorcommissioning","force-write","attribute-list","3","2"
"administratorcommissioning","force-write","feature-map","3","2"
"administratorcommissioning","force-write","cluster-revision","3","2"
"administratorcommissioning","subscribe-by-id","","5","4"
"administratorcommissioning","subscribe","window-status","4","3"
"administratorcommissioning","subscribe","admin-fabric-index","4","3"
"administratorcommissioning","subscribe","admin-vendor-id","4","3"
"administratorcommissioning","subscribe","generated-command-list","4","3"
"administratorcommissioning","subscribe","accepted-command-list","4","3"
"administratorcommissioning","subscribe","event-list","4","3"
"administratorcommissioning","subscribe","attribute-list","4","3"
"administratorcommissioning","subscribe","feature-map","4","3"
"administratorcommissioning","subscribe","cluster-revision","4","3"
"administratorcommissioning","read-event-by-id","","3","2"
"administratorcommissioning","subscribe-event-by-id","","5","4"
"airquality","command-by-id","","4","3"
"airquality","read-by-id","","3","2"
"airquality","read","air-quality","2","1"
"airquality","read","generated-command-list","2","1"
"airquality","read","accepted-command-list","2","1"
"airquality","read","event-list","2","1"
"airquality","read","attribute-list","2","1"
"airquality","read","feature-map","2","1"
"airquality","read","cluster-revision","2","1"
"airquality","write-by-id","","4","3"
"airquality","force-write","air-quality","3","2"
"airquality","force-write","generated-command-list","3","2"
"airquality","force-write","accepted-command-list","3","2"
"airquality","force-write","event-list","3","2"
"airquality","force-write","attribute-list","3","2"
"airquality","force-write","feature-map","3","2"
"airquality","force-write","cluster-revision","3","2"
"airquality","subscribe-by-id","","5","4"
"airquality","subscribe","air-quality","4","3"
"airquality","subscribe","generated-command-list","4","3"
"airquality","subscribe","accepted-command-list","4","3"
"airquality","subscribe","event-list","4","3"
"airquality","subscribe","attribute-list","4","3"
"airquality","subscribe","feature-map","4","3"
"airquality","subscribe","cluster-revision","4","3"
"airquality","read-event-by-id","","3","2"
"airquality","subscribe-event-by-id","","5","4"
"applicationbasic","command-by-id","","4","3"
"applicationbasic","read-by-id","","3","2"
"applicationbasic","read","vendor-name","2","1"
"applicationbasic","read","vendor-id","2","1"
"applicationbasic","read","application-name","2","1"
"applicationbasic","read","product-id","2","1"
"applicationbasic","read","application","2","1"
"applicationbasic","read","status","2","1"
"applicationbasic","read","application-version","2","1"
"applicationbasic","read","allowed-vendor-list","2","1"
"applicationbasic","read","generated-command-list","2","1"
"applicationbasic","read","accepted-command-list","2","1"
"applicationbasic","read","event-list","2","1"
"applicationbasic","read","attribute-list","2","1"
"applicationbasic","read","feature-map","2","1"
"applicationbasic","read","cluster-revision","2","1"
"applicationbasic","write-by-id","","4","3"
"applicationbasic","force-write","vendor-name","3","2"
"applicationbasic","force-write","vendor-id","3","2"
"applicationbasic","force-write","application-name","3","2"
"applicationbasic","force-write","product-id","3","2"
"applicationbasic","force-write","application","3","2"
"applicationbasic","force-write","status","3","2"
"applicationbasic","force-write","application-version","3","2"
"applicationbasic","force-write","allowed-vendor-list","3","2"
"applicationbasic","force-write","generated-command-list","3","2"
"applicationbasic","force-write","accepted-command-list","3","2"
"applicationbasic","force-write","event-list","3","2"
"applicationbasic","force-write","attribute-list","3","2"
"applicationbasic","force-write","feature-map","3","2"
"applicationbasic","force-write","cluster-revision","3","2"
"applicationbasic","subscribe-by-id","","5","4"
"applicationbasic","subscribe","vendor-name","4","3"
"applicationbasic","subscribe","vendor-id","4","3"
"applicationbasic","subscribe","application-name","4","3"
"applicationbasic","subscribe","product-id","4","3"
"applicationbasic","subscribe","application","4","3"
"applicationbasic","subscribe","status","4","3"
"applicationbasic","subscribe","application-version","4","3"
"applicationbasic","subscribe","allowed-vendor-list","4","3"
"applicationbasic","subscribe","generated-command-list","4","3"
"applicationbasic","subscribe","accepted-command-list","4","3"
"applicationbasic","subscribe","event-list","4","3"
"applicationbasic","subscribe","attribute-list","4","3"
"applicationbasic","subscribe","feature-map","4","3"
"applicationbasic","subscribe","cluster-revision","4","3"
"applicationbasic","read-event-by-id","","3","2"
"applicationbasic","subscribe-event-by-id","","5","4"
"applicationlauncher","command-by-id","","4","3"
"applicationlauncher","launch-app","","2","1"
"applicationlauncher","stop-app","","2","1"
